ota_hotel_id,master_id,name,name_en,city,address,url,rooms_number,first_seen_date,last_seen_date
na_gornoy_ulitse_5_private_house,13123803,Меблированные комнаты на Горной Улице 7Б,Na Gornoy Ulitse 7B,Солзан,"улица Горная, д. 7Б, Солзан",https://ostrovok.ru/hotel/russia/irkutsk/mid13123803/na_gornoy_ulitse_5_private_house,,2026-03-17,2026-03-19
izumrud_hotel_7,13287135,Отель Изумруд,Izumrud Hotel,Железногорск-Илимский,"7-й квартал, д.20, Железногорск-Илимский",https://ostrovok.ru/hotel/russia/irkutsk/mid13287135/izumrud_hotel_7,9,2026-03-17,2026-03-17
dlya_kompanii_guest_house,13288614,Для компании,Dlya Kompanii,Большое Голоустное,"улица Кирова, д.2Б, Большое Голоустное",https://ostrovok.ru/hotel/russia/irkutsk/mid13288614/dlya_kompanii_guest_house,,2026-03-17,2026-03-19
komilfo_2,9768630,Отель Комильфо,Komilfo Hotel,Железногорск-Илимский,"улица Иващенко, д.20, Железногорск-Илимский",https://ostrovok.ru/hotel/russia/irkutsk/mid9768630/komilfo_2,12,2026-03-17,2026-03-17
loft_house_38_guest_house,13330745,Loft House 38,Loft House 38,Большая Речка,"51.947037, 104.753515, Большая Речка",https://ostrovok.ru/hotel/russia/irkutsk/mid13330745/loft_house_38_guest_house,,2026-03-17,2026-03-19
tajga_hotel,9767827,Отель Тайга,Tajga Hotel,Иркутск,"улица Сурикова, д.4в, Иркутск",https://ostrovok.ru/hotel/russia/irkutsk/mid9767827/tajga_hotel,44,2026-03-19,2026-03-19
klubnyij_kvartal_apartments,9081992,Клубный Квартал,Klubnyij Kvartal,Братск,"бульвар Победы, д.30, Братск",https://ostrovok.ru/hotel/russia/irkutsk/mid9081992/klubnyij_kvartal_apartments,67,2026-03-19,2026-03-19
north_star_hotel_9,10670964,Отель North Star,North Star Hotel,Иркутск,"улица Седова, 4, Иркутск",https://ostrovok.ru/hotel/russia/irkutsk/mid10670964/north_star_hotel_9,12,2026-03-19,2026-03-19
baikal_business_center_hotel,7827545,Отель Байкал Бизнес Центр,Baikal Business Center Hotel,Иркутск,"улица Байкальская, д.279, Иркутск",https://ostrovok.ru/hotel/russia/irkutsk/mid7827545/baikal_business_center_hotel,59,2026-03-19,2026-03-19
minihotel_albatros,6481029,Гостиница Альбатрос,Albatros Hotel,Иркутск,"улица Ширямова, стр.15б/1, Иркутск",https://ostrovok.ru/hotel/russia/irkutsk/mid6481029/minihotel_albatros,12,2026-03-19,2026-03-19
alpari,7776573,Гостиница Альпари,Alpari,Иркутск,"микрорайон Приморский, д.24 А, Иркутск",https://ostrovok.ru/hotel/russia/irkutsk/mid7776573/alpari,10,2026-03-19,2026-03-19
marx_hotel,8662194,Отель Marx Hotel,Marx Hotel,Иркутск,"улица Карла Маркса, д.15 А, Иркутск",https://ostrovok.ru/hotel/russia/irkutsk/mid8662194/marx_hotel,26,2026-03-19,2026-03-19
taiga_2,6923154,Отель Taiga,Taiga Hotel,Братск,"улица Мира, дом 35, Братск",https://ostrovok.ru/hotel/russia/irkutsk/mid6923154/taiga_2,101,2026-03-19,2026-03-19
shelest,8664834,Shelest,Shelest,Черемхово,"улица Марата, д. 109, Черемхово",https://ostrovok.ru/hotel/russia/irkutsk/mid8664834/shelest,,2026-03-19,2026-03-19
hotel_flagman_olkhona,10019347,Отель Флагман Ольхона,Flagman Olkhona Hotel,Хужир,"улица Молодёжная, д.1, Хужир",https://ostrovok.ru/hotel/russia/irkutsk/mid10019347/hotel_flagman_olkhona,15,2026-03-19,2026-03-19
riderside,8754956,Гостиница Riverside,Riverside Hotel,Иркутск,"улица Байкальская, д.234 В/7, Иркутск",https://ostrovok.ru/hotel/russia/irkutsk/mid8754956/riderside,8,2026-03-19,2026-03-19
sportkompleks_ozerny_tulun_hotel,13285605,Спорткомплекс Озерный Тулун,Ozerny Tulun Sports Complex,Тулун,"улица Карбышева, д.185, Тулун",https://ostrovok.ru/hotel/russia/irkutsk/mid13285605/sportkompleks_ozerny_tulun_hotel,,2026-03-19,2026-03-19
guest_house_vremena_goda,6511529,Времена Года,Vremena Goda,Братск,"Улица Подбельского 12, Братск",https://ostrovok.ru/hotel/russia/irkutsk/mid6511529/guest_house_vremena_goda,24,2026-03-19,2026-03-19
luna_hotel_9,9752435,Отель Луна,Luna Hotel,Братск,"Комсомольская улица, д. 65А, Братск",https://ostrovok.ru/hotel/russia/irkutsk/mid9752435/luna_hotel_9,22,2026-03-19,2026-03-19
flagman_hotel_4,9081483,Отель Флагман,Flagman Hotel,Усть-Кут,"Россия, Иркутская область, Усть-Кут, ул. Калинина, д. 8, Усть-Кут",https://ostrovok.ru/hotel/russia/irkutsk/mid9081483/flagman_hotel_4,13,2026-03-19,2026-03-19
v_russkom_stile_guest_house,13288615,Меблированные комнаты в Русском Стиле,V Russkom Stile Living quarters,Большое Голоустное,"улица Кирова, д.2Б, Большое Голоустное",https://ostrovok.ru/hotel/russia/irkutsk/mid13288615/v_russkom_stile_guest_house,,2026-03-19,2026-03-19
barnkhaus_guest_house_4,13320876,Барнхаус,Barnkhaus,Солзан,"улица Восточная, д.4Б, Солзан",https://ostrovok.ru/hotel/russia/irkutsk/mid13320876/barnkhaus_guest_house_4,,2026-03-19,2026-03-19
hotel_harats_inn,13752679,Отель Harat's inn,Hotel Harat's inn,Иркутск,"ул Дальневосточная, д. 158/6, Иркутск",https://ostrovok.ru/hotel/russia/irkutsk/mid13752679/hotel_harats_inn,12,2026-03-19,2026-03-19
larus,9828888,Отель Ларус,Larus Hotel,Листвянка,"улица Октябрьская, дом 8, Листвянка",https://ostrovok.ru/hotel/russia/irkutsk/mid9828888/larus,14,2026-03-19,2026-03-19
